id,window_id,asset,placed,seconds_to_close,bid,distance,reason,pre_data,timestamp
150,fifteen_min_KXSOL15M-26MAR081900,sol,0,70.0,6,0.0638000000000005,low_distance,"{""quote"": {""yes_bid"": 93, ""yes_ask"": 94, ""no_bid"": 6, ""no_ask"": 7}, ""spot_kraken"": 81.94, ""spot_coinbase"": 81.91, ""distance_kraken"": 0.09380000000000166, ""distance_coinbase"": 0.06380000000000052}",1773010731.10856
151,fifteen_min_KXXRP15M-26MAR081900,xrp,0,69.0,0,0.00195999999999996,low_distance,"{""quote"": {""yes_bid"": 98, ""yes_ask"": 0, ""no_bid"": 0, ""no_ask"": 2}, ""spot_kraken"": 1.34526, ""spot_coinbase"": 1.34535, ""distance_kraken"": 0.0019599999999999618, ""distance_coinbase"": 0.0020500000000001073}",1773010732.15161
152,fifteen_min_KXBTC15M-26MAR081900,btc,0,67.0,0,180.030001000006,low_bid,"{""quote"": {""yes_bid"": 99, ""yes_ask"": 0, ""no_bid"": 0, ""no_ask"": 1}, ""spot_kraken"": 66241.6, ""spot_coinbase"": 66230.57, ""distance_kraken"": 191.0600010000053, ""distance_coinbase"": 180.03000100000645}",1773010734.13808
153,fifteen_min_KXETH15M-26MAR081900,eth,0,66.0,0,4.20499999999993,low_bid,"{""quote"": {""yes_bid"": 99, ""yes_ask"": 0, ""no_bid"": 0, ""no_ask"": 1}, ""spot_kraken"": 1943.23, ""spot_coinbase"": 1942.725, ""distance_kraken"": 4.710000000000036, ""distance_coinbase"": 4.204999999999927}",1773010734.87159
154,fifteen_min_KXSOL15M-26MAR081900,sol,0,66.0,6,0.0638000000000005,low_distance,"{""quote"": {""yes_bid"": 93, ""yes_ask"": 94, ""no_bid"": 6, ""no_ask"": 7}, ""spot_kraken"": 81.95, ""spot_coinbase"": 81.91, ""distance_kraken"": 0.10380000000000678, ""distance_coinbase"": 0.06380000000000052}",1773010735.70882
155,fifteen_min_KXXRP15M-26MAR081900,xrp,0,65.0,0,0.00195999999999996,low_distance,"{""quote"": {""yes_bid"": 98, ""yes_ask"": 0, ""no_bid"": 0, ""no_ask"": 2}, ""spot_kraken"": 1.34526, ""spot_coinbase"": 1.34555, ""distance_kraken"": 0.0019599999999999618, ""distance_coinbase"": 0.0022500000000000853}",1773010736.75624
156,fifteen_min_KXBTC15M-26MAR081900,btc,0,63.0,0,180.030001000006,low_bid,"{""quote"": {""yes_bid"": 99, ""yes_ask"": 0, ""no_bid"": 0, ""no_ask"": 1}, ""spot_kraken"": 66235.2, ""spot_coinbase"": 66230.57, ""distance_kraken"": 184.66000099999656, ""distance_coinbase"": 180.03000100000645}",1773010738.70356
157,fifteen_min_KXETH15M-26MAR081900,eth,0,62.0,0,4.11000000000013,low_bid,"{""quote"": {""yes_bid"": 99, ""yes_ask"": 0, ""no_bid"": 0, ""no_ask"": 1}, ""spot_kraken"": 1943.23, ""spot_coinbase"": 1942.63, ""distance_kraken"": 4.710000000000036, ""distance_coinbase"": 4.110000000000127}",1773010740.01973
158,fifteen_min_KXSOL15M-26MAR081900,sol,0,60.0,2,0.103800000000007,low_distance,"{""quote"": {""yes_bid"": 95, ""yes_ask"": 98, ""no_bid"": 2, ""no_ask"": 5}, ""spot_kraken"": 81.95, ""spot_coinbase"": 81.955, ""distance_kraken"": 0.10380000000000678, ""distance_coinbase"": 0.10880000000000223}",1773010740.79374
159,fifteen_min_KXXRP15M-26MAR081900,xrp,0,60.0,0,0.00195999999999996,low_distance,"{""quote"": {""yes_bid"": 99, ""yes_ask"": 0, ""no_bid"": 0, ""no_ask"": 1}, ""spot_kraken"": 1.34526, ""spot_coinbase"": 1.34535, ""distance_kraken"": 0.0019599999999999618, ""distance_coinbase"": 0.0020500000000001073}",1773010741.82242
