order_id,window_id,asset,ts_utc,ticker,side,spot,strike,resolution_price,seconds_to_close,distance,min_distance_threshold,bid,limit_or_market,price_cents,placed,filled,fill_price,final_outcome,pnl_cents,is_stop_loss,stop_loss_sell_price,skip_reason,skip_details,is_filled
bcdae4db-a0b1-4941-b192-8b61e8f1a27a,KXSOL15M-26MAR022145,sol,2026-03-03T02:44:17.705408+00:00,KXSOL15M-26MAR022145-45,yes,85.92,85.8578,,43.327335,0.06220000000000425,0.06,93,market,97,1,10,97,,,0,,,"Pre-placement history: Checks: 10 | Bids: [89, 84, 76, 80, 81, 90, 90, 93, 93, 94] | Distances: [0.007800000000003138, 0.007800000000003138, 0.007800000000003138, 0.007800000000003138, 0.007800000000003138, 0.007800000000003138, 0.007800000000003138, 0.007800000000003138, 0.007800000000003138, 0.06220000000000425] | Primary blocker: min_bid",0
afa26701-6da5-47bc-8f9f-a6db0eebbdcf,KXXRP15M-26MAR022145,xrp,2026-03-03T02:44:26.732389+00:00,KXXRP15M-26MAR022145-45,no,1.37862,1.3803,,34.144081,0.0016800000000001258,0.0012000000000000001,99,limit,99,1,0,99,,,0,,,"Pre-placement history: Checks: 14 | Bids: [98, 98, 98, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99] | Distances: [0.0018100000000000893, 0.0018100000000000893, 0.0018100000000000893, 0.0017500000000001403, 0.0017500000000001403, 0.0017500000000001403, 0.0017500000000001403, 0.0017500000000001403, 0.0017500000000001403, 0.0017500000000001403, 0.0017500000000001403, 0.0016800000000001258, 0.0016800000000001258, 0.0016800000000001258] | Primary blocker: distance_buffer",0
71b230db-3335-4fa6-8f02-84c74dab3242,KXSOL15M-26MAR022145,sol,2026-03-03T02:44:27.500503+00:00,KXSOL15M-26MAR022145-45,yes,85.92,85.8578,,34.144553,0.06220000000000425,0.04000000000000001,99,limit,99,1,0,99,,,0,,,"Pre-placement history: Checks: 3 | Bids: [93, 94, 94] | Distances: [0.06220000000000425, 0.06220000000000425, 0.06220000000000425] | Primary blocker: market_already_placed",0
10099b64-6748-4f6a-ac53-ef6d87e91fc3,KXETH15M-26MAR022145,eth,2026-03-03T02:44:36.670127+00:00,KXETH15M-26MAR022145-45,yes,2013.9,2013.11,,24.206744,0.790000000000191,0.5,98,market,99,1,10,99,,,0,,,"Pre-placement history: Checks: 18 | Bids: [76, 78, 69, 53, 51, 45, 82, 87, 94, 93, 92, 91, 93, 94, 95, 95, 96, 98] | Distances: [0.12999999999988177, 0.790000000000191, 0.790000000000191, 0.790000000000191, 0.790000000000191, 0.790000000000191, 0.790000000000191, 0.790000000000191, 0.790000000000191, 0.790000000000191, 0.790000000000191, 0.790000000000191, 0.790000000000191, 0.790000000000191, 0.790000000000191, 0.790000000000191, 0.790000000000191, 0.790000000000191] | Primary blocker: distance_buffer",0
c900743a-de41-4bcf-8f98-a95f3702c6d6,KXBTC15M-26MAR022145,btc,2026-03-03T02:44:38.905524+00:00,KXBTC15M-26MAR022145-45,yes,68436.1,68428.64,,21.810506,7.460000000006403,7.0,93,market,94,1,10,94,,,0,,,"Pre-placement history: Checks: 19 | Bids: [57, 57, 50, 49, 46, 50, 42, 72, 71, 70, 66, 56, 69, 72, 64, 63, 68, 78, 72] | Distances: [7.059999999997672, 7.059999999997672, 7.059999999997672, 7.539999999993597, 7.539999999993597, 7.539999999993597, 7.440000000002328, 7.440000000002328, 7.440000000002328, 7.440000000002328, 7.440000000002328, 7.440000000002328, 7.460000000006403, 7.360000000000582, 7.460000000006403, 7.460000000006403, 7.460000000006403, 7.460000000006403, 7.460000000006403] | Primary blocker: min_bid",0
852ce6ab-c2cf-4aad-b9fd-a806bc3714f1,KXETH15M-26MAR022145,eth,2026-03-03T02:44:39.537707+00:00,KXETH15M-26MAR022145-45,yes,2013.9,2013.11,,21.80994,0.790000000000191,0.5,99,limit,99,1,0,99,,,0,,,,0
47629fde-cee5-4f43-87a7-d766a631377e,KXBTC15M-26MAR022145,btc,2026-03-03T02:44:51.670418+00:00,KXBTC15M-26MAR022145-45,yes,68436.1,68428.64,,9.570954,7.460000000006403,7.0,99,limit,99,1,10,99,,,0,,,"Pre-placement history: Checks: 4 | Bids: [80, 91, 94, 97] | Distances: [7.460000000006403, 7.460000000006403, 7.460000000006403, 7.460000000006403] | Primary blocker: market_already_placed",0
51711c1a-75ab-4cb9-888d-e6d837d15d21,KXBTC15M-26MAR022200,btc,2026-03-03T02:59:01.755831+00:00,KXBTC15M-26MAR022200-00,yes,68541.0,68435.81,,59.027075,105.19000000000233,35.0,99,limit,99,1,0,99,,,0,,,"Pre-placement history: Checks: 3 | Bids: [99, 99, 99] | Distances: [85.19000000000233, 105.19000000000233, 105.19000000000233] | Primary blocker: waiting_for_dip",0
3513df76-3665-425d-8d0a-c52dca2bdfcd,KXSOL15M-26MAR022200,sol,2026-03-03T02:59:01.856492+00:00,KXSOL15M-26MAR022200-00,yes,86.17,85.9147,,59.026256,0.2553000000000054,0.1,99,limit,99,1,0,99,,,0,,,"Pre-placement history: Checks: 3 | Bids: [99, 99, 99] | Distances: [0.2553000000000054, 0.2553000000000054, 0.2553000000000054] | Primary blocker: waiting_for_dip",0
09ebb389-2ce2-4d6d-bcb8-e2df0a07effc,KXETH15M-26MAR022200,eth,2026-03-03T02:59:39.408465+00:00,KXETH15M-26MAR022200-00,yes,2014.65,2013.98,,21.676821,0.6700000000000728,0.5,99,limit,99,1,0,99,,,0,,,"Pre-placement history: Checks: 17 | Bids: [84, 84, 91, 90, 89, 90, 92, 92, 94, 97, 98, 99, 99, 99, 99, 99, 99] | Distances: [0.41000000000008185, 0.41000000000008185, 0.41000000000008185, 0.41000000000008185, 0.41000000000008185, 0.41000000000008185, 0.41000000000008185, 0.41000000000008185, 0.41000000000008185, 0.41000000000008185, 0.41000000000008185, 0.41000000000008185, 0.41000000000008185, 0.41000000000008185, 0.41000000000008185, 0.41000000000008185, 0.41000000000008185] | Primary blocker: distance_buffer",0
85f8a300-f93c-48aa-ac6b-534efb83223f,KXETH15M-26MAR022215,eth,2026-03-03T03:13:56.204780+00:00,KXETH15M-26MAR022215-15,no,2012.2,2014.96,,64.918994,2.759999999999991,2.5,97,market,98,1,10,98,,,0,,,,0
